37.jpg
48.jpg
29.jpg
10.jpg
14.jpg
1.jpg
45.jpg
47.jpg
40.jpg
24.jpg
25.jpg
49.jpg
18.jpg
13.jpg
28.jpg
34.jpg
17.jpg
3.jpg
26.jpg
15.jpg
31.jpg
6.jpg
33.jpg
2.jpg
30.jpg
36.jpg
42.jpg
20.jpg
38.jpg
11.jpg
5.jpg
7.jpg
4.jpg
21.jpg
27.jpg
39.jpg
22.jpg
43.jpg
32.jpg
35.jpg
8.jpg
50.jpg
12.jpg
19.jpg
44.jpg
23.jpg
9.jpg
46.jpg
16.jpg
41.jpg
image : 0 , ntrue = 917.00 ,npred = 1760.98 , time =79.57 sec
image : 1 , ntrue = 2372.00 ,npred = 2105.27 , time =79.19 sec
image : 2 , ntrue = 1601.00 ,npred = 1764.86 , time =68.95 sec
image : 3 , ntrue = 700.00 ,npred = 1101.48 , time =72.29 sec
image : 4 , ntrue = 2961.00 ,npred = 2301.34 , time =69.16 sec
image : 5 , ntrue = 4633.00 ,npred = 2137.15 , time =67.27 sec
image : 6 , ntrue = 1451.00 ,npred = 1825.78 , time =69.26 sec
image : 7 , ntrue = 1961.00 ,npred = 2959.78 , time =79.65 sec
image : 8 , ntrue = 1037.00 ,npred = 2224.90 , time =79.18 sec
image : 9 , ntrue = 1566.00 ,npred = 1170.74 , time =63.88 sec
image : 0 , ntrue = 890.00 ,npred = 842.40 , time =73.85 sec
image : 1 , ntrue = 588.00 ,npred = 1016.20 , time =116.86 sec
image : 2 , ntrue = 682.00 ,npred = 834.73 , time =80.98 sec
image : 3 , ntrue = 730.00 ,npred = 783.41 , time =71.01 sec
image : 4 , ntrue = 1739.00 ,npred = 1038.92 , time =70.28 sec
image : 5 , ntrue = 1115.00 ,npred = 1560.03 , time =81.13 sec
image : 6 , ntrue = 362.00 ,npred = 726.94 , time =80.52 sec
image : 7 , ntrue = 2364.00 ,npred = 2398.89 , time =79.30 sec
image : 8 , ntrue = 2391.00 ,npred = 1564.18 , time =73.70 sec
image : 9 , ntrue = 1543.00 ,npred = 3371.96 , time =91.13 sec
image : 0 , ntrue = 1998.00 ,npred = 1581.34 , time =69.20 sec
image : 1 , ntrue = 2550.00 ,npred = 1651.41 , time =79.27 sec
image : 2 , ntrue = 311.00 ,npred = 586.35 , time =58.57 sec
image : 3 , ntrue = 1940.00 ,npred = 1547.75 , time =68.91 sec
image : 4 , ntrue = 248.00 ,npred = 908.17 , time =79.48 sec
image : 5 , ntrue = 2105.00 ,npred = 2147.97 , time =79.07 sec
image : 6 , ntrue = 329.00 ,npred = 592.15 , time =81.10 sec
image : 7 , ntrue = 2705.00 ,npred = 2265.84 , time =65.61 sec
image : 8 , ntrue = 440.00 ,npred = 1498.50 , time =67.15 sec
image : 9 , ntrue = 484.00 ,npred = 1239.84 , time =77.77 sec
image : 0 , ntrue = 469.00 ,npred = 1101.98 , time =69.55 sec
image : 1 , ntrue = 648.00 ,npred = 822.54 , time =76.72 sec
image : 2 , ntrue = 96.00 ,npred = 138.14 , time =70.50 sec
image : 3 , ntrue = 376.00 ,npred = 442.41 , time =70.28 sec
image : 4 , ntrue = 1858.00 ,npred = 1015.67 , time =34.95 sec
image : 5 , ntrue = 164.00 ,npred = 366.75 , time =70.94 sec
image : 6 , ntrue = 967.00 ,npred = 717.61 , time =70.22 sec
image : 7 , ntrue = 947.00 ,npred = 654.88 , time =70.29 sec
image : 8 , ntrue = 562.00 ,npred = 402.68 , time =69.76 sec
image : 9 , ntrue = 1050.00 ,npred = 941.93 , time =81.18 sec
image : 0 , ntrue = 1046.00 ,npred = 1449.04 , time =80.26 sec
image : 1 , ntrue = 440.00 ,npred = 780.45 , time =72.52 sec
image : 2 , ntrue = 581.00 ,npred = 1777.14 , time =90.22 sec
image : 3 , ntrue = 754.00 ,npred = 879.51 , time =77.08 sec
image : 4 , ntrue = 2358.00 ,npred = 2387.61 , time =70.40 sec
image : 5 , ntrue = 679.00 ,npred = 700.18 , time =66.32 sec
image : 6 , ntrue = 3406.00 ,npred = 2200.89 , time =81.16 sec
image : 7 , ntrue = 1366.00 ,npred = 1176.06 , time =66.76 sec
image : 8 , ntrue = 209.00 ,npred = 408.24 , time =80.90 sec
image : 9 , ntrue = 1284.00 ,npred = 1209.81 , time =67.10 sec
